tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,intensity_std
585,82.00210000009129,47.436399999653545,9.2,0.086,3.75,3.9,39.7,123.8,11.94370985423885
586,53.87210000008661,71.75439999962374,4,0.109,1.025,3.2,2.6,4.2,12.637893583177686
587,84.3480999999944,34.789399999772755,11.5,0.155,9.475,2,193.3,767.2,10.701348765925404
588,61.41110000007637,39.630399999787656,18.4,0.387,4.550000000000001,7.3,65.8,357.5,9.607419408348497
589,44.19609999999255,80.36139999946728,1.8,0.051,0.15,1.8,0.1,0.1,13.721955841596378
590,50.30010000004284,24.65939999988452,13.1,0,11.4,3.1,293.6,2099.1,10.763676567930744
591,34.809100000004655,53.052399999575314,15.9,0.184,5.1,7.7,73.2,320.5,9.74446592902943
592,26.59410000003725,32.35739999974296,10.3,0.069,2.875,5.6,21.2,58.5,9.47643989393976
593,60.41010000002887,56.440399999843535,4.5,0.057,0.825,4.4,2,3.5,11.10247063625819
594,38.62810000002235,62.975399999526886,3.9,0.096,0.875,1.6,2.2,3.8,9.288354079889857
595,77.1231000000177,41.540399999471006,7.9,0.088,1.15,2.8,2.5,4.6,9.7206268099047
596,46.326099999997204,42.530399999694524,4.8,0.176,1.625,3.9,7.7,13.6,10.379334468677149
597,62.3621000000773,71.7383999997951,3.4,0.113,1.45,3.5,6.1,12.1,8.8840926878689
598,73.24310000001304,40.45039999962002,11.5,0.073,2.475,6.3,14.7,31.4,10.124901126585714
599,65.68710000003074,76.95839999953434,3.6,0.072,0.8500000000000001,1.8,2.1,3.1,9.224030267972374
600,65.6581000000503,24.32239999959394,12.6,0.157,12.025,8.3,358.7,2617.2,11.520416559408543
601,75.58810000010152,41.309399999791374,14.8,0,2.325,6,14.2,44.9,10.03043632089742
602,57.195100000061466,63.09739999950081,5.3,0.037,1.55,2.8,6.3,14.8,11.297211980688717
603,68.11310000000839,76.05039999971316,3.8,0.038,0.675,3.7,1.3,1.7,10.41322898615016
604,68.67610000009034,52.33439999969825,3.6,0.019,0.975,3.9,2.2,4.2,12.776854587614425
605,55.434100000004655,67.31439999967962,3,0.072,0.425,3,0.6,1,15.701968832425177
606,58.164100000102444,68.54939999954924,7.8,0.064,1.15,2.5,4,13.4,12.293580694942063
607,72.95210000004471,58.781399999858436,9.7,0.091,1.875,2.4,8.7,25.1,10.80609553209266
608,67.67110000008569,41.530399999694524,7.4,0,0.575,7.9,0.7,0.7,10.806552076083078
609,51.34910000004191,73.28039999969452,7.8,0.091,1.175,1.8,4,8.9,12.81128938730444
610,31.50310000002235,23.681399999765304,16.5,0.168,7.875,7.8,128.4,1059.6,10.779008229483786
611,39.22110000001583,80.26939999975411,5,0.132,0.75,2.3,1.6,2.1,14.913963302189137
612,56.852100000067985,77.80139999987708,2.1,0,0.25,2.1,0.2,0.3,9.31158407492224
613,55.0201000000149,64.18939999967962,2.4,0.041,0.875,2.4,1.6,2.1,9.08823024143051
614,56.649100000088474,28.36139999946728,7.5,0.116,1.5,2.3,5.2,10.7,13.063887158371127
615,67.45510000007079,62.95939999969825,13.6,0.225,3.525,6.3,26.1,78.4,11.5199102034159
616,60.085100000075435,62.20639999967217,2.8,0.096,0.35,1.1,0.3,0.5,13.02672876667924
617,51.76810000003632,75.95139999978392,5.6,0.096,1.15,2.4,3.4,8.3,12.825966147942143
618,56.102100000067985,30.225399999526886,3.4,0.071,0.55,3.7,0.9,1.3,9.05829165882388
619,53.30610000009499,70.65939999988451,6.3,0.17,1.325,2.8,4.3,12.1,12.915535824773151
621,59.136100000053084,27.35739999974296,7.4,0.159,3.025,2.6,23,81.8,10.491474479431949
622,60.22410000004191,53.957399999836085,4.6,0,1.025,4,2.5,5,10.3360148978169
623,52.84510000008475,72.02339999947846,12.4,0.074,1.425,2.9,6.8,25.5,13.695203387883836
624,39.44210000003539,74.24039999965727,7.8,0.077,2.65,2.6,19.8,62,13.814792012165404
625,36.183100000073566,29.634399999511984,10.9,0.097,1.85,5.6,8.4,14.9,11.879297236027528
626,45.710100000075435,61.500399999899415,9.7,0.084,0.8,3.3,1.9,7.3,15.478464174423673
627,61.87710000009127,26.62739999976158,19.2,0.077,2.95,3,24.5,92.6,11.098544845638129
628,60.96110000000652,26.133399999813733,8.5,0.075,1.475,3.6,6.4,12.6,9.642426210655826
629,42.790100000033526,69.12139999970942,12.2,0.104,2.175,4.4,12.2,30.5,12.320152740247098
630,73.88610000005309,68.69039999984354,3.4,0.089,1.25,3.4,4.7,8.1,8.9673588943511
631,73.48810000000839,44.29139999963492,2.5,0.062,0.625,2.5,1.1,1.4,15.02730668818385
632,46.98410000005122,70.56639999954179,9.9,0.095,1.075,4.3,3,8.7,14.010681956813508
633,44.98310000000372,68.044399999661,15.6,0.17,3.075,9.6,24.9,107.8,13.655661756241988
634,60.78210000000279,23.92039999982491,9.7,0.09,1.75,3.7,7.8,21.2,11.52381128982936
635,29.86710000008196,25.239399999493358,15.5,0.204,2.925,8.9,20.3,62,9.81164418953686
